custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_classs,customer,customer_lifetime_value
,California,F,College,,55855,79,0,Personal Auto,Four-Door Car,272,,VG40704,3135.0
,Oregon,F,Bachelor,,60021,99,0,Special Auto,Four-Door Car,882,,PJ73790,3939.0
,Arizona,M,High School or Below,,0,73,0,Corporate Auto,Two-Door Car,496,,KE36052,5325.0
,California,M,High School or Below,,74300,122,0,Personal Auto,SUV,354,,HW97280,19483.0
,Washington,M,Bachelor,,0,96,0,Corporate Auto,Four-Door Car,460,,WX10701,3459.0
,Oregon,F,High School or Below,,51747,71,0,Personal Auto,Four-Door Car,340,,CC16034,17103.0
,Arizona,F,High School or Below,,28887,73,2,Personal Auto,Four-Door Car,425,,YA83600,2753.0
,Arizona,M,High School or Below,,0,189,0,Personal Auto,Luxury,1415,,UE10014,12866.0
,Nevada,F,Bachelor,,0,68,3,Personal Auto,Four-Door Car,546,,NV11692,4420.0
,Nevada,M,High School or Below,,43540,70,0,Corporate Auto,Two-Door Car,117,,XJ52902,2756.0
,Nevada,F,Bachelor,,96961,64,0,Corporate Auto,Two-Door Car,81,,EI89831,7743.0
,Arizona,F,College,,32799,104,0,Personal Auto,SUV,499,,ZY57929,8169.0
,Nevada,F,Bachelor,,0,101,0,Personal Auto,SUV,1201,,KI70852,3569.0
,California,F,Bachelor,,72540,88,0,Personal Auto,Two-Door Car,631,,WD38067,10656.0
,California,M,Master,,35173,180,2,Personal Auto,Luxury,415,,NQ45562,7092.0
,Washington,F,High School or Below,,65431,69,0,Personal Auto,Four-Door Car,331,,RU75129,2777.0
,Arizona,F,High School or Below,,0,100,0,Corporate Auto,SUV,480,,KC16062,7550.0
,Washington,M,Bachelor,,0,72,0,Personal Auto,Four-Door Car,345,,VK57280,4727.0
,Arizona,M,High School or Below,,0,84,0,Personal Auto,Four-Door Car,604,,AP90638,14274.0
,California,F,High School or Below,,40672,121,0,Corporate Auto,SUV,580,,GF12712,9559.0
,California,F,High School or Below,,52583,113,0,Personal Auto,SUV,528,,QQ26855,8879.0
,Arizona,F,College,,64816,69,0,Corporate Auto,Four-Door Car,331,,ZJ90079,5525.0
,California,F,Bachelor,,36685,74,0,Corporate Auto,Four-Door Car,355,,CE75354,5923.0
,Oregon,M,High School or Below,,0,136,3,Personal Auto,Luxury,979,,CP38401,8501.0
,California,F,Master,,77143,125,3,Personal Auto,SUV,176,,ZZ42291,40235.0
,Arizona,M,Master,,60942,64,0,Special Auto,Two-Door Car,288,,EI57866,2584.0
,Arizona,F,High School or Below,,0,61,0,Personal Auto,Two-Door Car,366,,KL39986,19278.0
,Oregon,F,Master,,21514,62,0,Personal Auto,Two-Door Car,257,,PL18921,11981.0
,Washington,M,High School or Below,,25927,103,0,Personal Auto,SUV,674,,SR71068,3933.0
,Oregon,F,High School or Below,,25965,65,0,Personal Auto,Four-Door Car,329,,JM47657,2491.0
,Arizona,F,Bachelor,,27688,92,0,Personal Auto,Four-Door Car,572,,JZ54775,7431.0
,Oregon,F,High School or Below,,75490,97,0,Corporate Auto,Four-Door Car,43,,LO57469,7865.0
,Oregon,F,Bachelor,,33871,136,0,Personal Auto,SUV,933,,DA99797,15978.0
,Nevada,F,College,,0,65,2,Personal Auto,Four-Door Car,468,,WA63124,2113.0
,California,M,College,,85470,109,0,Personal Auto,SUV,523,,YV97407,8661.0
,Washington,M,College,,97095,70,0,Personal Auto,Four-Door Car,208,,UQ71296,5625.0
,Washington,F,College,,73604,114,0,Personal Auto,SUV,184,,LY14687,4592.0
,California,M,Bachelor,,0,112,0,Personal Auto,SUV,1082,,AM32820,3709.0
,California,F,Bachelor,,40646,103,0,Personal Auto,Four-Door Car,494,,ZP47993,8208.0
,Arizona,F,High School or Below,,74454,71,0,Personal Auto,Four-Door Car,340,,WN13366,5595.0
,Arizona,F,High School or Below,,18168,87,0,Personal Auto,Two-Door Car,417,,MK87221,3413.0
,Nevada,M,High School or Below,,0,89,0,Personal Auto,Two-Door Car,614,,BC77846,6325.0
,Oregon,M,Master,,0,66,2,Personal Auto,Four-Door Car,316,,YL27602,6393.0
,Arizona,M,Bachelor,,43597,110,0,Personal Auto,Two-Door Car,528,,QS70017,8738.0
,Oregon,M,High School or Below,,0,140,0,Personal Auto,SUV,672,,PZ80067,4836.0
,Oregon,M,High School or Below,,66825,69,0,Personal Auto,Four-Door Car,70,,FV62588,24967.0
,California,F,High School or Below,,0,62,5,Personal Auto,Four-Door Car,297,,IN56924,5409.0
,California,M,Bachelor,,0,74,1,Personal Auto,Four-Door Car,532,,IX67925,2344.0
,Oregon,F,High School or Below,,22448,126,0,Personal Auto,SUV,604,,IS58553,15173.0
,Oregon,M,College,,42596,96,0,Personal Auto,Four-Door Car,42,,AB78984,11124.0
,Oregon,M,Bachelor,,0,70,0,Corporate Auto,Four-Door Car,646,,WN13947,4863.0
,Arizona,M,College,,97868,70,1,Special Auto,Two-Door Car,267,,VA91846,5577.0
,California,F,High School or Below,,92921,112,0,Personal Auto,SUV,109,,KM58067,4526.0
,Washington,M,Bachelor,,41372,64,0,Personal Auto,Four-Door Car,307,,EL42453,2519.0
,California,F,High School or Below,,26660,63,0,Personal Auto,Two-Door Car,453,,TP10619,4892.0
,Washington,M,High School or Below,,58851,79,1,Personal Auto,Four-Door Car,494,,AH41065,18943.0
,California,M,High School or Below,,95697,107,0,Corporate Auto,Luxury,178,,SS63511,8564.0
,California,F,Master,,0,112,0,Personal Auto,SUV,537,,NE21279,4419.0
,Arizona,M,Bachelor,,0,84,1,Personal Auto,Four-Door Car,403,,TN71995,5637.0
,Washington,M,Bachelor,,81741,64,0,Corporate Auto,Four-Door Car,186,,OM13505,5047.0
,Oregon,F,College,,48295,63,0,Personal Auto,Four-Door Car,290,,KI83797,4913.0
,Nevada,F,High School or Below,,65538,72,0,Personal Auto,Four-Door Car,261,,SH60585,5799.0
,Oregon,M,College,,53997,69,0,Personal Auto,Four-Door Car,345,,GU33167,5568.0
,Oregon,F,College,,93272,95,0,Personal Auto,Four-Door Car,281,,BX20846,3861.0
,California,F,Bachelor,,68899,74,0,Personal Auto,Two-Door Car,66,,VK69632,2912.0
,California,M,Bachelor,,0,67,0,Corporate Auto,Four-Door Car,321,,RU72450,6980.0
,Nevada,F,High School or Below,,0,97,0,Personal Auto,Four-Door Car,698,,KN15789,6769.0
,Oregon,M,Bachelor,,54950,103,0,Corporate Auto,SUV,480,,GG29821,8193.0
,California,M,High School or Below,,96306,95,1,Personal Auto,Four-Door Car,185,,RN98239,7519.0
,Nevada,F,Bachelor,,70342,96,1,Personal Auto,Four-Door Car,685,,NE83217,3746.0
,Arizona,M,High School or Below,,72421,65,0,Personal Auto,Four-Door Car,312,,YU72630,2592.0
,California,F,Bachelor,,0,132,3,Personal Auto,Luxury,950,,EZ80325,4548.0
,Oregon,F,College,,77748,72,0,Personal Auto,Two-Door Car,7,,CE41738,2885.0
,Oregon,F,Bachelor,,19096,64,0,Personal Auto,Two-Door Car,374,,HF15113,4883.0
,Arizona,F,Master,,73876,112,0,Personal Auto,Four-Door Car,419,,WZ83320,9061.0
,Washington,M,High School or Below,,0,237,0,Personal Auto,Luxury,1706,,XX31571,16728.0
,Oregon,M,Bachelor,,20742,100,0,Personal Auto,SUV,455,,US90854,11177.0
,Arizona,M,College,,44804,114,0,Corporate Auto,SUV,778,,FX55357,4364.0
,Arizona,F,Bachelor,,52993,64,0,Personal Auto,Four-Door Car,304,,LR32149,22940.0
,Oregon,F,Bachelor,,49185,61,0,Corporate Auto,Two-Door Car,126,,UK66803,4926.0
,Oregon,F,High School or Below,,69240,194,0,Personal Auto,Luxury,744,,VO87159,23086.0
,Oregon,F,Bachelor,,26877,131,0,Personal Auto,SUV,628,,QK23524,5149.0
,Arizona,F,Bachelor,,82828,67,1,Personal Auto,Four-Door Car,217,,ZQ37164,8016.0
,California,M,Bachelor,,99824,63,0,Special Auto,Four-Door Car,302,,FG47217,2538.0
,California,M,Bachelor,,30352,89,0,Personal Auto,Four-Door Car,146,,FQ46354,10498.0
,Oregon,M,College,,0,69,0,Corporate Auto,Two-Door Car,331,,AG56998,2448.0
,Oregon,M,Bachelor,,27681,83,0,Personal Auto,Two-Door Car,398,,KG23128,6057.0
,Nevada,F,Bachelor,,85478,103,0,Personal Auto,Two-Door Car,224,,NX34811,8295.0
,Oregon,F,High School or Below,,94310,70,4,Corporate Auto,Four-Door Car,430,,PY79729,2786.0
,Oregon,F,College,,13663,97,0,Corporate Auto,Four-Door Car,465,,VJ64329,25464.0
,Arizona,F,High School or Below,,10384,151,0,Personal Auto,SUV,914,,CO71312,11469.0
,California,M,Doctor,,17272,93,0,Personal Auto,Two-Door Car,446,,VG83453,3557.0
,Nevada,F,College,,64367,104,0,Personal Auto,SUV,96,,JD78271,8317.0
,Oregon,M,Bachelor,,47519,96,0,Personal Auto,Two-Door Car,245,,XM69101,7601.0
,Arizona,M,College,,26263,85,0,Special Auto,Two-Door Car,475,,HK30754,9426.0
,Oregon,M,Bachelor,,0,63,0,Personal Auto,Two-Door Car,556,,WJ47053,6418.0
,California,F,High School or Below,,0,93,0,Personal Auto,Two-Door Car,855,,HX36471,6788.0
,California,F,High School or Below,,77309,83,0,Personal Auto,Two-Door Car,596,,HS66275,3358.0
,Oregon,F,College,,50876,61,0,Personal Auto,Four-Door Car,171,,MB75636,2439.0
,Oregon,M,Bachelor,,20284,65,1,Personal Auto,Four-Door Car,532,,KB35786,4505.0
,California,M,College,,22567,69,0,Personal Auto,Four-Door Car,496,,LX42787,2309.0
,California,M,Bachelor,,63546,64,0,Personal Auto,Four-Door Car,131,,SS34897,2541.0
,Nevada,M,High School or Below,,0,89,0,Personal Auto,Four-Door Car,640,,ZQ92997,6414.0
,Oregon,F,College,,28137,65,0,Personal Auto,Two-Door Car,312,,OB66874,2585.0
,California,M,Master,,22608,77,0,Personal Auto,Four-Door Car,369,,LE74625,2961.0
,California,M,Bachelor,,92296,69,0,Corporate Auto,Two-Door Car,331,,QN60028,2759.0
,Oregon,M,College,,0,69,5,Personal Auto,Two-Door Car,331,,GV19121,3341.0
,Washington,M,High School or Below,,12430,73,0,Special Auto,Four-Door Car,350,,PS43764,5169.0
,Oregon,F,High School or Below,,0,116,0,Personal Auto,SUV,1301,,YW60802,4117.0
,Washington,M,High School or Below,,50470,71,0,Corporate Auto,Two-Door Car,377,,UI80897,5552.0
,Arizona,M,High School or Below,,44788,61,0,Personal Auto,Four-Door Car,386,,VV35420,7285.0
,Nevada,F,College,,52423,119,1,Corporate Auto,Four-Door Car,571,,RW61528,13916.0
,Nevada,F,College,,29696,139,0,Personal Auto,SUV,478,,LT60268,11044.0
,Oregon,F,College,,26884,89,0,Special Auto,Four-Door Car,238,,VA77345,3531.0
,California,M,College,,64388,69,0,Personal Auto,Two-Door Car,331,,WG15595,2759.0
,Oregon,F,Bachelor,,0,61,0,Personal Auto,Four-Door Car,292,,FZ45665,6500.0
,Oregon,M,High School or Below,,34498,83,0,Personal Auto,Two-Door Car,398,,MM90239,6369.0
,Arizona,M,Bachelor,,73060,108,0,Special Auto,SUV,518,,UG18431,13083.0
,Oregon,M,Bachelor,,0,63,0,Personal Auto,Two-Door Car,453,,BE78308,2150.0
,Arizona,F,Bachelor,,61337,105,0,Personal Auto,SUV,2,,EM29019,8447.0
,Nevada,M,College,,0,73,0,Corporate Auto,Two-Door Car,350,,SK37917,5075.0
,Arizona,F,Bachelor,,59496,88,0,Personal Auto,Four-Door Car,189,,DD68171,3527.0
,Oregon,F,Bachelor,,0,180,0,Personal Auto,Luxury,1474,,NF20746,13061.0
,Arizona,F,Master,,37813,78,1,Corporate Auto,Four-Door Car,39,,PY48656,6259.0
,Oregon,F,College,,55907,104,0,Corporate Auto,SUV,499,,AO42003,16681.0
,Arizona,F,College,,80480,72,0,Personal Auto,Four-Door Car,242,,DK41858,5791.0
,Oregon,M,Bachelor,,72734,66,0,Personal Auto,Two-Door Car,195,,TY20016,7980.0
,Washington,F,High School or Below,,0,72,0,Personal Auto,Four-Door Car,22,,OH76118,2767.0
,Arizona,M,Bachelor,,36548,76,0,Personal Auto,Four-Door Car,547,,IZ79227,2975.0
,Arizona,M,Master,,62113,104,0,Personal Auto,SUV,5,,HN10814,4178.0
,Arizona,M,College,,0,67,0,Personal Auto,Four-Door Car,747,,OD25312,4734.0
,California,F,Bachelor,,41252,109,0,Personal Auto,SUV,514,,ZR32858,4315.0
,Oregon,M,High School or Below,,61139,76,0,Personal Auto,Four-Door Car,364,,FC68244,6126.0
,Arizona,F,Bachelor,,26744,68,0,Corporate Auto,Two-Door Car,326,,VS86041,2694.0
,California,F,Bachelor,,0,132,0,Personal Auto,SUV,950,,EQ82942,9338.0
,California,F,College,,74640,66,0,Corporate Auto,Four-Door Car,375,,ZE82255,18680.0
,Oregon,M,Bachelor,,88126,64,1,Personal Auto,Four-Door Car,151,,DA79544,2551.0
,California,F,Bachelor,,55005,70,1,Personal Auto,Four-Door Car,336,,WG33213,2808.0
,California,M,High School or Below,,33190,123,0,Personal Auto,Luxury,40,,DP97298,9710.0
,California,M,High School or Below,,0,71,4,Personal Auto,Four-Door Car,839,,JH73645,15190.0
,Oregon,F,College,,0,117,0,Corporate Auto,Four-Door Car,609,,SK98708,4069.0
,Oregon,F,High School or Below,,0,97,2,Personal Auto,Four-Door Car,669,,ZZ62245,6612.0
,California,M,Bachelor,,0,64,1,Personal Auto,Four-Door Car,731,,AU46604,2030.0
,Arizona,F,Bachelor,,25226,71,1,Personal Auto,Four-Door Car,340,,HD44279,5090.0
,California,F,Master,,63398,83,0,Personal Auto,Four-Door Car,292,,LS99940,3353.0
,Oregon,M,Master,,30092,108,0,Personal Auto,SUV,192,,EY27917,8532.0
,Washington,M,College,,37876,69,0,Corporate Auto,Four-Door Car,300,,ZJ22033,2647.0
,Oregon,F,High School or Below,,12201,84,0,Corporate Auto,Four-Door Car,604,,TZ60132,6071.0
,Oregon,M,College,,37970,115,0,Personal Auto,SUV,124,,XG74199,9061.0
,Nevada,M,Bachelor,,28898,67,0,Corporate Auto,Four-Door Car,82,,YM74115,2531.0
,Oregon,F,High School or Below,,23845,61,0,Personal Auto,Four-Door Car,292,,LO48126,2467.0
,California,M,High School or Below,,62810,187,1,Corporate Auto,Luxury,32,,NM37561,7408.0
,Oregon,F,Bachelor,,65773,89,4,Corporate Auto,Four-Door Car,245,,HW19141,3452.0
,California,M,Bachelor,,0,69,0,Personal Auto,Four-Door Car,232,,OD21455,4481.0
,California,M,Bachelor,,0,86,0,Personal Auto,Four-Door Car,568,,WN14477,21235.0
,Nevada,M,Master,,0,95,1,Personal Auto,Four-Door Car,476,,YK88644,3370.0
,Oregon,F,College,,41479,94,1,Personal Auto,Two-Door Car,19,,YO41331,3746.0
,California,M,Master,,72433,126,0,Personal Auto,SUV,343,,PB39857,5129.0
,Oregon,M,Bachelor,,74586,103,0,Personal Auto,SUV,494,,NW67881,12300.0
,California,F,Bachelor,,0,234,0,Personal Auto,Luxury,1135,,BN13780,18065.0
,Washington,F,College,,67326,69,0,Corporate Auto,Four-Door Car,331,,EZ70847,19644.0
,Arizona,M,College,,25285,114,0,Personal Auto,SUV,547,,YR75102,35900.0
,Arizona,M,High School or Below,,15871,89,0,Personal Auto,Four-Door Car,427,,RS30611,6838.0
,Oregon,M,Master,,38795,82,1,Corporate Auto,Two-Door Car,393,,QT61438,6519.0
,Oregon,M,High School or Below,,24882,72,0,Corporate Auto,Two-Door Car,345,,MD44130,5712.0
,Nevada,F,College,,33169,128,0,Personal Auto,SUV,614,,MS78828,5126.0
,California,M,Bachelor,,86305,62,0,Corporate Auto,Four-Door Car,80,,DG31826,4984.0
,Oregon,M,High School or Below,,0,112,0,Corporate Auto,SUV,537,,WW67905,4102.0
,California,F,College,,32210,103,0,Corporate Auto,SUV,494,,LS92540,4111.0
,Nevada,M,Bachelor,,69090,139,0,Personal Auto,Luxury,387,,RP92511,11085.0
,California,F,High School or Below,,0,63,0,Personal Auto,Four-Door Car,523,,LK63879,4745.0
,Arizona,M,Doctor,,83308,73,1,Personal Auto,Four-Door Car,419,,BT20606,5837.0
,Oregon,F,High School or Below,,39034,68,0,Personal Auto,Four-Door Car,466,,WW31823,19190.0
,Oregon,M,College,,46750,82,1,Corporate Auto,Two-Door Car,672,,MN79082,6444.0
,Oregon,F,Doctor,,39786,91,1,Personal Auto,Four-Door Car,365,,ID89933,7255.0
,Nevada,M,High School or Below,,56788,108,5,Special Auto,SUV,579,,NM77390,8197.0
,Nevada,M,Bachelor,,90156,114,0,Personal Auto,SUV,388,,NN79124,4554.0
,Oregon,F,Bachelor,,63867,89,1,Corporate Auto,Four-Door Car,432,,DF97701,7069.0
,California,F,Bachelor,,83413,118,0,Personal Auto,SUV,134,,EJ73184,4743.0
,Nevada,M,College,,0,118,0,Personal Auto,SUV,566,,GE43335,4019.0
,Oregon,F,Bachelor,,36116,171,2,Corporate Auto,SUV,158,,HB68898,20239.0
,Washington,M,College,,56342,69,0,Corporate Auto,Four-Door Car,331,,UP80657,2674.0
,Oregon,F,College,,55542,117,0,Personal Auto,Luxury,310,,PR13091,9206.0
,Oregon,M,College,,58466,66,1,Personal Auto,Two-Door Car,316,,YV73432,23187.0
,Oregon,F,College,,12964,65,0,Personal Auto,Two-Door Car,362,,CG90504,4770.0
,Washington,M,High School or Below,,43412,94,0,Personal Auto,Two-Door Car,509,,SH12501,3768.0
,Nevada,M,Master,,82611,74,1,Personal Auto,Four-Door Car,355,,ZR58728,2893.0
,Arizona,M,Bachelor,,28915,76,0,Personal Auto,Four-Door Car,364,,NS57426,11611.0
,Oregon,M,High School or Below,,0,207,0,Personal Auto,Luxury,1490,,HU99414,14246.0
,Arizona,F,High School or Below,,0,70,0,Personal Auto,Four-Door Car,336,,LP86596,2554.0
,California,F,College,,91774,81,0,Personal Auto,Four-Door Car,285,,HR92775,3226.0
,Washington,M,High School or Below,,27972,61,0,Personal Auto,Four-Door Car,292,,DQ69331,2227.0
,California,M,Bachelor,,0,96,0,Personal Auto,Four-Door Car,460,,SP41790,10623.0
,Oregon,M,College,,0,122,2,Corporate Auto,SUV,681,,YA52900,8304.0
,California,F,College,,77857,64,0,Personal Auto,Four-Door Car,160,,RQ88363,5155.0
,Oregon,F,Bachelor,,0,62,0,Personal Auto,Four-Door Car,114,,OZ37864,4407.0
,California,F,Doctor,,56502,74,0,Personal Auto,Four-Door Car,355,,EH27304,2955.0
,Oregon,M,Bachelor,,95018,97,0,Personal Auto,Four-Door Car,315,,CR37971,3900.0
,Oregon,M,Bachelor,,23705,122,4,Personal Auto,SUV,585,,KL54950,4531.0
,California,M,Bachelor,,72333,70,0,Personal Auto,Two-Door Car,177,,DS75515,2813.0
,Arizona,M,High School or Below,,0,107,0,Personal Auto,SUV,770,,YW72997,7196.0
,Arizona,M,Bachelor,,47622,80,0,Personal Auto,Four-Door Car,305,,MR13691,6301.0
,Nevada,F,Bachelor,,0,105,0,Personal Auto,SUV,504,,PP20957,7799.0
,Oregon,M,College,,79632,106,1,Personal Auto,SUV,344,,KJ41153,8292.0
,Oregon,M,Master,,16154,62,1,Personal Auto,Four-Door Car,91,,WX49215,18534.0
,Oregon,M,College,,72211,73,0,Personal Auto,Four-Door Car,44,,CH78309,2906.0
,California,M,College,,70892,76,0,Corporate Auto,Two-Door Car,206,,UF54329,6089.0
,Washington,F,College,,49367,63,0,Personal Auto,Four-Door Car,69,,CQ59706,5016.0
,Arizona,F,Bachelor,,68086,194,0,Corporate Auto,SUV,218,,KP77095,15470.0
,Washington,M,Master,,90353,70,0,Personal Auto,Two-Door Car,72,,PP14656,5680.0
,Oregon,F,High School or Below,,49558,115,0,Personal Auto,SUV,552,,QM74025,4582.0
,Washington,M,Bachelor,,93485,72,0,Personal Auto,Four-Door Car,127,,RW67951,8663.0
,Oregon,M,High School or Below,,10629,74,0,Personal Auto,Four-Door Car,532,,ED13353,5274.0
,California,M,Bachelor,,10237,72,0,Personal Auto,Two-Door Car,253,,LG49010,2620.0
,Oregon,F,College,,87517,112,1,Corporate Auto,Four-Door Car,802,,UA74474,4515.0
,Nevada,M,Bachelor,,23241,70,0,Personal Auto,Two-Door Car,504,,AC79024,5533.0
,Arizona,M,High School or Below,,60861,66,0,Personal Auto,Four-Door Car,65,,SD61306,5216.0
,Nevada,M,Doctor,,21726,104,0,Personal Auto,SUV,697,,PF88939,7860.0
,Arizona,M,Bachelor,,36313,67,2,Personal Auto,Four-Door Car,300,,FG64765,5016.0
,California,F,Bachelor,,29160,87,0,Personal Auto,Two-Door Car,417,,DC79319,3351.0
,California,M,High School or Below,,0,99,0,Personal Auto,Two-Door Car,712,,HS45195,6732.0
,Oregon,M,College,,0,188,0,Corporate Auto,Luxury,1621,,VN73653,6423.0
,California,F,College,,48139,63,0,Personal Auto,Four-Door Car,329,,WL72919,4974.0
,Oregon,F,College,,0,76,5,Personal Auto,Two-Door Car,38,,DO31181,4739.0
,Oregon,F,College,,13688,84,0,Personal Auto,Two-Door Car,403,,WY23230,6086.0
,California,M,College,,0,73,0,Corporate Auto,Four-Door Car,525,,SK89479,5016.0
,Nevada,F,High School or Below,,27649,63,0,Personal Auto,Four-Door Car,302,,BM30720,7341.0
,Arizona,F,Master,,24191,80,0,Personal Auto,Four-Door Car,103,,XG92008,3215.0
,Oregon,M,High School or Below,,0,71,0,Corporate Auto,Four-Door Car,517,,CJ46674,2533.0
,Oregon,F,High School or Below,,58493,67,0,Personal Auto,Four-Door Car,321,,UJ31096,5340.0
,California,F,High School or Below,,82477,90,0,Personal Auto,Two-Door Car,432,,GS44464,3644.0
,Oregon,F,College,,88663,79,0,Special Auto,Four-Door Car,379,,XP35430,6382.0
,Nevada,F,High School or Below,,74057,109,0,Personal Auto,SUV,523,,QI51950,4303.0
,Arizona,M,Bachelor,,0,63,2,Corporate Auto,Two-Door Car,302,,PL88841,4228.0
,Arizona,F,College,,52342,66,3,Personal Auto,Two-Door Car,316,,ZW51790,10426.0
,California,M,Bachelor,,42012,63,0,Corporate Auto,Four-Door Car,40,,MY80820,2484.0
,Arizona,M,Bachelor,,56021,69,0,Personal Auto,Four-Door Car,279,,NE13752,8232.0
,California,M,High School or Below,,35124,137,0,Personal Auto,SUV,986,,VL51487,21768.0
,Oregon,F,High School or Below,,0,62,1,Personal Auto,Four-Door Car,439,,DD97473,2160.0
,Nevada,F,High School or Below,,0,125,0,Personal Auto,SUV,900,,QJ89807,4423.0
,Arizona,F,College,,37202,93,0,Personal Auto,Two-Door Car,322,,GK24074,3691.0
,Oregon,M,College,,65985,71,5,Special Auto,Four-Door Car,42,,DL61016,4940.0
,California,F,High School or Below,,87771,74,4,Personal Auto,Four-Door Car,355,,EV60177,8503.0
,Arizona,F,College,,63624,115,2,Personal Auto,SUV,306,,OS96036,41143.0
,California,F,Bachelor,,80192,129,0,Personal Auto,SUV,200,,AF37776,10419.0
,Oregon,M,Bachelor,,35945,105,0,Personal Auto,SUV,756,,NC78961,4139.0
,Oregon,M,College,,93004,63,0,Corporate Auto,Four-Door Car,205,,YA15471,7627.0
,Washington,M,High School or Below,,0,89,0,Personal Auto,Four-Door Car,941,,KX80728,6162.0
,California,F,College,,71210,214,1,Personal Auto,Luxury,1027,,VV47792,25807.0
,Oregon,F,College,,99159,190,0,Personal Auto,Luxury,912,,GE80842,15506.0
,Nevada,F,College,,81491,72,0,Personal Auto,Four-Door Car,61,,QA93530,5757.0
,California,F,Master,,99875,108,0,Personal Auto,SUV,114,,GA27295,39365.0
,California,F,High School or Below,,51705,139,0,Personal Auto,SUV,545,,EL55611,5555.0
,Arizona,F,Bachelor,,39837,201,0,Corporate Auto,Luxury,381,,TL39050,23893.0
,Oregon,F,College,,31421,81,0,Personal Auto,Two-Door Car,388,,ZQ96022,9594.0
,Arizona,M,Bachelor,,81531,135,0,Personal Auto,SUV,420,,OM69210,5411.0
,California,F,Bachelor,,25134,67,0,Corporate Auto,Four-Door Car,321,,VU72280,5318.0
,California,F,College,,37386,97,0,Corporate Auto,Four-Door Car,465,,WC21189,7731.0
,California,F,College,,0,66,4,Corporate Auto,Four-Door Car,316,,JX50334,2004.0
,Oregon,F,College,,99553,68,0,Corporate Auto,Four-Door Car,111,,GB70736,5510.0
,Arizona,F,Bachelor,,0,161,0,Corporate Auto,SUV,1159,,PU21485,11158.0
,Arizona,M,High School or Below,,70705,69,2,Personal Auto,Two-Door Car,272,,MF49636,5390.0
,Nevada,F,College,,22724,69,0,Personal Auto,Four-Door Car,9,,TG29325,2658.0
,Oregon,F,College,,26320,111,0,Corporate Auto,SUV,603,,MW83318,8826.0
,Nevada,M,Bachelor,,0,69,0,Personal Auto,Four-Door Car,806,,LM54297,4713.0
,California,M,College,,0,70,0,Personal Auto,Four-Door Car,425,,NI78185,2393.0
,California,F,College,,88218,99,0,Personal Auto,Two-Door Car,50,,HL14274,11895.0
,Nevada,M,Master,,25180,70,0,Personal Auto,Four-Door Car,235,,SF86727,5580.0
,Oregon,F,Bachelor,,48091,108,0,Personal Auto,SUV,132,,EM89554,8617.0
,Oregon,M,High School or Below,,92539,100,0,Corporate Auto,SUV,25,,XP50892,3940.0
,Arizona,F,Bachelor,,40658,61,1,Personal Auto,Four-Door Car,38,,VH77056,2448.0
,Arizona,M,Bachelor,,75453,112,0,Special Auto,SUV,163,,JF19701,4439.0
,Oregon,M,College,,94003,64,0,Personal Auto,Four-Door Car,307,,JN49891,2534.0
,Arizona,M,Master,,31737,218,0,Personal Auto,Luxury,1046,,CX65318,17420.0
,Washington,M,College,,0,70,0,Personal Auto,Four-Door Car,425,,HL35876,2393.0
,Washington,F,High School or Below,,0,71,1,Personal Auto,Four-Door Car,340,,RD87161,2681.0
,California,F,College,,0,114,0,Personal Auto,Four-Door Car,1343,,CF50291,4272.0
,California,M,Bachelor,,48885,190,0,Personal Auto,Luxury,1090,,VF35858,15284.0
,Nevada,F,Bachelor,,0,79,0,Corporate Auto,Four-Door Car,379,,XG55762,20186.0
,California,M,Bachelor,,86305,62,0,Personal Auto,Four-Door Car,80,,EC28314,4984.0
,Oregon,F,Bachelor,,28909,66,0,Corporate Auto,Two-Door Car,456,,GR53936,5246.0
,California,M,High School or Below,,0,123,1,Personal Auto,SUV,1088,,DV51398,8827.0
,Oregon,M,College,,26140,84,1,Personal Auto,Two-Door Car,403,,YF81002,3269.0
,Oregon,M,Bachelor,,35095,73,0,Personal Auto,Two-Door Car,525,,YM20358,16979.0
,Arizona,F,Bachelor,,31678,63,0,Personal Auto,Two-Door Car,76,,AZ75509,2479.0
,Arizona,M,Master,,28245,62,0,Personal Auto,Two-Door Car,297,,No93155,7200.0
,Oregon,F,Bachelor,,0,72,0,Personal Auto,Four-Door Car,345,,FG21322,7917.0
,Nevada,F,High School or Below,,19168,106,1,Personal Auto,SUV,508,,GO44613,24061.0
,California,F,Master,,22705,239,0,Personal Auto,Luxury,1294,,ZW93288,19160.0
,Nevada,F,College,,86481,65,0,Corporate Auto,Two-Door Car,189,,MS67230,23295.0
,Arizona,M,Doctor,,38008,68,4,Personal Auto,Four-Door Car,321,,FQ32742,7553.0
,California,M,College,,63032,61,0,Personal Auto,Four-Door Car,404,,YF30946,2405.0
,Washington,F,College,,27228,129,4,Personal Auto,Luxury,238,,TH69908,4865.0
,Nevada,F,Bachelor,,0,68,1,Personal Auto,Four-Door Car,483,,QA78691,16388.0
,Oregon,F,Bachelor,,13424,71,0,Personal Auto,Four-Door Car,340,,NL44360,2611.0
,Oregon,F,College,,59098,110,0,Personal Auto,SUV,665,,HO77809,8688.0
,Oregon,F,Master,,16181,181,0,Personal Auto,SUV,1261,,MC30750,13736.0
